"""name""","""experience""","""domains""","""feedback""","""languages""","""jurisdiction""","""charge""","""disposal_days""","""firm""","""location""","""pro bono""","""demographics""","""gender"""
"""Anay Ahluwalia""","""20""","""Corporate Law Consumer Protection Law Labor Law""","""5.0""","""hindi, telugu""","""Supreme Court""","""420.6850078605348""","""117.69593880898871""","""Saini PLC""","""Hyderabad""","""yes""","""Large Corporations""","""female"""
"""Arnav Dubey""","""29""","""Intellectual Property Law Criminal Law Tax Law""","""2.0""","""kannada, tamil, urdu""","""Specialized Court""","""435.66306274876007""","""119.00039621571536""","""Sarna-Contractor""","""Delhi""","""no""","""Small Businesses""","""male"""
"""Lavanya Lalla""","""15""","""Human Rights Law Civil Law Family Law""","""5.0""","""gujarati, kannada, tamil""","""Specialized Court""","""236.79822958471968""","""93.85126197992682""","""Gade-Cheema""","""Delhi""","""yes""","""Large Corporations""","""female"""
"""Armaan Khosla""","""11""","""Constitutional Law Media Entertainment Law Real Estate Law""","""2.0""","""punjabi, tamil, telugu""","""Specialized Court""","""90.20295603134008""","""89.82727367885032""","""Brahmbhatt-Konda""","""Kolkata""","""yes""","""Large Corporations""","""male"""
"""Advik Chaudry""","""8""","""Human Rights Law Constitutional Law Human Rights Law""","""2.0""","""malayalam, odia, urdu""","""Supreme Court""","""247.00166478482896""","""105.4598971236234""","""Barad PLC""","""Bangalore""","""yes""","""Individuals""","""male"""
"""Urvi Bedi""","""29""","""Medical Law Immigration Law Constitutional Law""","""2.0""","""hindi, malayalam""","""Supreme Court""","""153.8305655931742""","""106.42197753340989""","""Bhatia""","""Bangalore""","""yes""","""Small Businesses""","""male"""
"""Rania Bansal""","""21""","""Labor Law Media Entertainment Law Civil Law""","""4.0""","""bengali, hindi, malayalam""","""Specialized Court""","""181.03840474848087""","""77.91012403410878""","""Devi""","""Hyderabad""","""no""","""Individuals""","""female"""
"""Urvi Gera""","""7""","""Labor Law Consumer Protection Law Criminal Law""","""4.0""","""gujarati, hindi, kannada""","""Specialized Court""","""397.5204005768776""","""82.10167300294947""","""Hari LLC""","""Kolkata""","""yes""","""Small Businesses""","""male"""
"""Shamik Kamdar""","""26""","""Real Estate Law Media Entertainment Law Immigration Law""","""5.0""","""bengali, malayalam, telugu""","""District Court""","""83.98718871164908""","""70.16478847975057""","""Virk LLC""","""Hyderabad""","""yes""","""Individuals""","""male"""
"""Ayesha Bala""","""19""","""Banking Finance Law Environmental Law Civil Law""","""""","""punjabi, telugu""","""Specialized Court""","""422.411547866316""","""""","""Wali""","""Chennai""","""yes""","""Individuals""","""female"""
